#
#  chlamycyc 8.0 Reactions link table generated on Fri Jun 29, 2018
#
3.2.1.58-RXN	EC-3.2.1.58
AMINOGLYCOSIDE-N6-ACETYLTRANSFERASE-RXN	EC-2.3.1.82
3.1.4.2-RXN	EC-3.1.4.2
RXN-10060	EC-1.1.1.100
2.7.7.64-RXN	EC-2.7.7.64
RXN-12196	EC-3.6.1.15
RXN-12347	
RXN-12959	EC-2.7.1.174
RXN-10706	EC-1.3.3.6
2.3.1.158-RXN	EC-2.3.1.158
GLUTRNAREDUCT-RXN	EC-1.2.1.70
GLU6PDEHYDROG-RXN	EC-1.1.1.49
2TRANSKETO-RXN	EC-2.2.1.1
1.14.13.67-RXN	EC-1.14.14.bd
RXN-7835	EC-1.3.1.34
RXN-982	EC-1.20.4.1
RXN-7984	
3.1.3.66-RXN	EC-3.1.3.66
RXN-9789	EC-2.7.7.73
RXNIO2-13	EC-2.3.1
ABC-23-RXN	EC-3.6.3.28
RXN1F-155	EC-5.3.99.9
RXN-11241	EC-2.1.1.165
MALATE-DEH-RXN	EC-1.1.1.37
ARYLSULFAT-RXN	EC-3.1.6.1
RXN-11946	EC-1.14.13
RXN-18969	
QOR-RXN	EC-1.6.5.5
6.3.5.6-RXN	EC-6.3.5.6
RXN-9311	EC-3.1.2.28
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN-12508	
RXN-6902	EC-2.6.1.96
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
RXN-4307	EC-2.5.1.27
UDP-GLUCURONATE-DECARBOXYLASE-RXN	EC-4.1.1.35
3.1.3.76-RXN	EC-3.1.3.76
RXNQT-4173	EC-4.2.1.170
RXN-7183	EC-1.5.1.12
RXN-13617	EC-2.3.1.16
DSERDEAM-RXN	EC-4.3.1.18
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.30
RXN-13494	
NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1
2.1.1.121-RXN	EC-2.1.1.121
ACETATEKIN-RXN	EC-2.7.2.1
RXN-3741	EC-3.4.19.9
RXN-16635	EC-2.4.1.184
RXN-12247	EC-1.3.99.28
RXN-17253	
RXN-15043	EC-2.3.1.51
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
RXN-8365	EC-1.14.19.35
RXN-16426	
RXN-5741	EC-6.2.1.47
RXN-7674	EC-2.5.1.62
LACCASE-RXN	EC-1.10.3.2
TRANS-RXN-121	
6PGLUCONOLACT-RXN	EC-3.1.1.31
TRANS-RXN0-478	
RXN-16526	
RXN-14048	
RXN-2043	EC-3.2.1.4
RXN-7184	EC-2.7.1.151
RXN-8443	EC-2.7.1.173
ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN	EC-1.1.1.101
RXN0-5187	EC-3.1.3.102
3.6.4.11-RXN	EC-3.6.4.11
RXN-1825	EC-3.2.1
RXN-8001	EC-1.1.1.23
RXN-18190	
1.2.1.25-RXN	EC-1.2.1.25
RXN-13880	
RXN-18968	
THYMINE-DIOXYGENASE-RXN	EC-1.14.11.6
RXN66-14	EC-1.3.1.70
RXN0-5107	EC-3.6.1.9
AICARTRANSFORM-RXN	EC-2.1.2.3
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
RXNIO2-4	EC-1.14.99
RXN-7795	EC-2.7.1
RXN-11887	EC-1.14.19.20
XYLULOKIN-RXN	EC-2.7.1.17
RXN-12127	EC-2.4.1.173
RXN-10952	EC-3.1.3.25
RXN-1828	EC-2.4.1.25
RXN-1225	EC-2.4.1.241
RXN-14120	EC-2.7.4.6
7KAPSYN-RXN	EC-2.3.1.47
GABATRANSAM-RXN	EC-2.6.1.19
CHALCONE-ISOMERASE-RXN	EC-5.5.1.6
RXN1G-349	EC-1.1.1.100
RXN-14274	EC-2.3.1.16
RXN-12940	EC-1.17.1
RXN-13631	
ARGSUCCINLYA-RXN	EC-4.3.2.1
RXN-13648	EC-2.7.7.84
2OXOGLUTDECARB-RXN	EC-1.2.4.2
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN-12394	
RXN-5472	EC-2.4.1.256
RXN-11480	EC-1.1.1.100
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
RIBAZOLEPHOSPHAT-RXN	EC-3.1.3.73
RXN-12383	EC-2.3.1
GUANOSINE-DIPHOSPHATASE-RXN	EC-3.6.1.42
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
RXN-12895	EC-3.5.1.110
RXN-9659	EC-1.3.1.9
RXNQT-4150	EC-3.1.3.5
3.7.1.8-RXN	EC-3.7.1.8
3.2.1.84-RXN	EC-3.2.1.84
ABC-27-RXN	EC-3.6.3.27
SAICARSYN-RXN	EC-6.3.2.6
RIBOKIN-RXN	EC-2.7.1.15
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	EC-1.1.1.102
RXN-9593	
2.1.1.137-RXN	EC-2.1.1.137
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	EC-1.4.7.1
RXN-14326	EC-2.1.1.98
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
D-XYLOSE-1-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.179
TRANS-RXN-29	
RXN66-479	EC-1.2.1.3
RXN-9479	EC-2.3.1.221
RXN-3601	EC-1.1.1.348
RXN-12450	EC-1.5.1.40
D-PPENTOMUT-RXN	EC-5.4.2.7
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
RXN-17809	EC-4.6.1.17
ALLANTOICASE-RXN	EC-3.5.3.4
3.5.1.60-RXN	EC-3.5.1.60
RXN-10705	EC-4.2.1.17
PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1
12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42
RXN-13309	EC-1.3.1.93
RXN-17900	
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	EC-2.6.1.39
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	EC-1.14.11.7
ATPSYN-RXN	EC-3.6.3.14
RXN-11338	EC-6.3.1
RXN-13858	EC-1.14.19.12
RXN-12430	EC-3.1.1.32
HYDROGEN-DEHYDROGENASE-RXN	EC-1.12.1.2
ABC-4-RXN	EC-3.6.3.21
ALLANTOINASE-RXN	EC-3.5.2.5
RXN-11501	EC-3.2.1.22
FERREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.3
ETHANOLAMINE-KINASE-RXN	EC-2.7.1.82
2.5.1.46-RXN	EC-2.5.1.46
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
RXN-14873	
3.1.3.67-RXN	EC-3.1.3.67
RXN66-3	EC-1.2.1.3
RXN-18967	
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
GERANIOL-DEHYDROGENASE-RXN	EC-1.1.1.183
RXN-17428	EC-1.3.1.83
RXN-14213	EC-3.6.1
RXN-10435	EC-6.3
RXN-3742	EC-6.3.2.17
2.4.1.232-RXN	EC-2.4.1.232
DADPKIN-RXN	EC-2.7.4.6
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN0-6491	EC-1.3.5.2
POLYVINYL-ALCOHOL-OXIDASE-RXN	EC-1.1.3.30
RXN-4312	
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
THIAZOLSYN3-RXN	EC-2.7.1.50
RXN0-884	EC-1.17.7.4
PSERPHOSPHA-RXN	EC-3.1.3.3
RXN1F-72	EC-1.3.1.75
DGDPKIN-RXN	EC-2.7.4.6
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
ADENYL-KIN-RXN	EC-2.7.4.3
RXN-11277	EC-3.1.3.81
RXN-9788	EC-2.8.1
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN-12078	EC-1.1.1.21
1TRANSKETO-RXN	EC-2.2.1.1
6-PHOSPHOFRUCTO-2-KINASE-RXN	EC-2.7.1.105
RXNQT-4167	EC-4.2.1.170
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.4
RXN-12519	EC-5.3.3.8
3.2.1.80-RXN	EC-3.2.1.153
RXN-12184	EC-6.2.1.3
1.8.1.4-RXN	EC-1.8.1.4
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
RXN-14981	EC-1.14.11.23
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	EC-3.1.3.63
3-ISOPROPYLMALDEHYDROG-RXN	
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
RXN-8638	EC-3.6.3.32
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
RXN-12411	EC-1.3.99.26
RXN-9204	EC-2.5.1.74
RXN-9003	EC-2.5.1.39
3.1.4.37-RXN	EC-3.1.4.37
RXN-8357	EC-3.1.1.14
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN-15513	EC-5.4.2.11
RXN-12583	
RXN-10953	EC-3.1.3.25
RXN-5781	EC-2.7.8.2
RXN-14973	
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.39	EC-1.3.1.104	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
RXN0-985	EC-1.14.11.33
GALACTOSE-OXIDASE-RXN	EC-1.1.3.9
RXN0-7078	EC-2.3.1
RXN-16002	
2.1.1.145-RXN	EC-2.1.1.145
RXN-14073	EC-3.1.4.46
RXN-13940	
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-15598	EC-1.16.5.1
6.3.4.10-RXN	EC-6.3.4.10
3.2.1.17-RXN	EC-3.2.1.17
RXN-10699	EC-2.3.1.16
RXN-2982	EC-3.5.1
RXN0-5222	
RXN-12726	EC-2.5.1.47
RXN-14256	
RXN66-318	EC-1.1.1.170
RXN-3523	
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN-10036	EC-3.1.3.86
CARBAMATE-KINASE-RXN	EC-2.7.2.2
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
PSERTRANSAM-RXN	EC-2.6.1.52
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	EC-1.1.99.2
RXN-11373	
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN	EC-1.1.1.62
RXN-7243	
2.7.8.23-RXN	EC-2.7.8.23
RXN-16527	
RXN-18966	
CYCLOARTENOL-SYNTHASE-RXN	EC-5.4.99.8
RXN-2562	EC-2.1.1.95
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
ASPARAGHYD-RXN	EC-3.5.1.38	EC-3.5.1.1
3.2.1.141-RXN	EC-3.2.1.141
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
GALACTOKIN-RXN	EC-2.7.1.6
GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN	EC-4.3.2.9
OPPSYN-RXN	EC-2.5.1
RXN-14929	EC-2.5.1.116
SEPIAPTERIN-REDUCTASE-RXN	EC-1.1.1.153
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.91
RXN66-484	EC-6.2.1.3
RXN-12086	EC-3.1.1.3
RXN0-2301	EC-1.3.8.4
TSA-REDUCT-RXN	EC-1.1.1.60
1.1.1.170-RXN	EC-1.1.1.170
RXN-14380	EC-3.2.1.68
RXN-14116	EC-1.2.1.88
RXN-14218	
PHOSPHOLIPASE-A1-RXN	EC-3.1.1.32
NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN-14378	EC-2.4.1.242
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
DXPREDISOM-RXN	EC-1.1.1.267
METHYLGLUTACONYL-COA-HYDRATASE-RXN	EC-4.2.1.18
RXN-18965	
RXNQT-4300	EC-2.8.1
RXN-7886	EC-1.13.11
TRANS-RXN4LZ-45	
RXN0-1321	EC-2.4.2.29
RXN-12204	EC-2.7.9.5
3.1.3.68-RXN	EC-3.1.3.68
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN-11476	EC-1.1.1.100
RXN-11884	EC-5.3.3.5
RXN-8363	EC-1.14.19.23
3.1.1.75-RXN	EC-3.1.1.75
RXN-10700	EC-2.3.1.16
RXN-4304	
TREHALOSEPHOSPHA-RXN	EC-3.1.3.12
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
RXN-8300	EC-1.14.19.23
RXNQT-4337	EC-1.14.13.237
RXN-8442	EC-2.4.2
2.4.1.214-RXN	EC-2.4.1.214
RXN1G-4	EC-2.3.1.189
RXN-8665	EC-1.13.11.11	EC-1.13.11.52
RXN6666-2	EC-3.5.1.99
RXN-11876	EC-5.5.1
1.1.1.272-RXN	EC-1.1.1.272
CYSPH-RXN	EC-2.5.1
RXN-16393	EC-6.2.1.3
RXN-11557	EC-3.1.1
PMPOXI-RXN	EC-1.4.3.5
RXN-5285	EC-1.3.1.33
RXN-8094	EC-1.2.3.1
RXN-8317	EC-1.14.19.35
ARGINASE-RXN	EC-3.5.3.1
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-15801	EC-1.14.99.51
HOMOCYSMET-RXN	EC-2.1.1.14
2.7.7.15-RXN	EC-2.7.7.15
STEROID-DELTA-ISOMERASE-RXN	EC-5.3.3.1
KDOTRANS-RXN	EC-2.4.99.12
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
RXN1G-320	EC-4.2.1.59
2.4.1.19-RXN	EC-2.4.1.19
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
RXN-10707	EC-1.3.3.6
RXN-6201	EC-4.1.1.97
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC-2.6.1.51
RXN0-882	EC-1.17.7.1
23-DIMETHYLMALATE-LYASE-RXN	EC-4.1.3.32
PGLUCISOM-RXN	EC-5.3.1.9
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
AIRS-RXN	EC-6.3.3.1
R162-RXN	EC-1.5.99.14
RXN0-2381	EC-4.1.2.8
GLYCOLATEDEHYDRO-RXN	EC-1.1.99.14
TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.25
ACETYLGLUTKIN-RXN	EC-2.7.2.8
RXN0-6554	EC-1.3.5.2
RXN-7249	
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
DTDPDEHYRHAMREDUCT-RXN	EC-1.1.1.133
RXN-13163	EC-4.2.1.33
RXN1G-363	EC-4.2.1.59
DEOXYCYTIDINE-KINASE-RXN	EC-2.7.1.74
3.2.1.6-RXN	EC-3.2.1.6
URATE-OXIDASE-RXN	EC-1.7.3.3
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
RXN0-1134	EC-1.2.4.1
RXN-9702	EC-4.1.2.42
TRANS-RXN-220	EC-3.6.3
RXN0-949	EC-2.8.1.8
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-11647	EC-1.3.99.27
PYRROLINECARBDEHYDROG-RXN	
RXN-17855	EC-2.3.1.256
RXN-14199	EC-3.6.1.5
RXN-9515	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-8655	
RXN-17679	EC-1.14.11.23
RXN-12198	EC-3.6.1.6
RXN-11317	
RXN-18964	
RXN-1603	
RXN-9552	EC-1.1.1.100
RXN-11356	
RXN-13682	EC-1.3.99.5
R221-RXN	EC-1.1.99
RXN-13304	EC-4.2.1.134
RIBULOKIN-RXN	EC-2.7.1.16
RXN-18185	
BADH-RXN	EC-1.2.1.8
CYSTATHIONINE-BETA-SYNTHASE-RXN	EC-4.2.1.22
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
RXN-18428	
RXN-18189	
2.7.1.134-RXN	EC-2.7.1.134
RXN0-5224	EC-4.2.1.1
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5
RXN0-300	EC-1.1.1
RXN-13398	EC-1.14.13.122
RXN-18430	
RXN-12393	EC-1.13.11.70
RXN-10038	EC-2.7.1.164
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
RXN-7891	EC-1.14.99
UDPSUGARHYDRO-RXN	EC-3.6.1.45
RXN-18431	
SAMDECARB-RXN	EC-4.1.1.50
RXN0-5038	EC-3.1.4.53
RXN0-6427	EC-3.1.7.2
RXN-12730	EC-2.1.1.14
RXN-15137	
RXN-8348	EC-2.10.1.1
RXN-14691	EC-1.6.3.3
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
PEPSYNTH-RXN	EC-2.7.9.2
TRANS-RXNIO2-3	
GALACTONOLACTONE-DEHYDROGENASE-RXN	EC-1.3.2.3
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1
RXN-12276	EC-3.1.3
1.3.1.2-RXN	EC-1.3.1.2
2.7.7.1-RXN	EC-2.7.7.1
TRANS-RXN0-549	
RXN-10704	EC-4.2.1.17
RXN-9660	EC-1.3.1.9
RXN-14395	EC-1.3.2
RXN-15816	EC-1.10.2.2
RXN-13909	EC-1.5.1.34
RXN-12244	
RXN-9857	EC-3.1.1.45
RXN-17891	EC-2.3.2.8
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.57	EC-2.6.1.5
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	EC-2.1.1.95
RXN-12777	EC-2.3.1
FUMHYDR-RXN	EC-4.2.1.2
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
SORBITOL-6-PHOSPHATASE-RXN	EC-3.1.3.50
RXN-8038	EC-5.5.1.19
RXN-12648	
TRANS-RXN-194	EC-3.6.3
RXN-14919	EC-2.1.1.95
METHYLVALERATE-RXN	EC-1.2.4.4
BENZOATE-4-MONOOXYGENASE-RXN	EC-1.14.13.12
NMNNUCLEOSID-RXN	EC-3.2.2.14
RXN-7652	
RXN-8450	EC-1.14.11.23
RXN-7246	EC-3.1.3.62
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
NAD-KIN-RXN	EC-2.7.1.23
ASNSYNA-RXN	EC-6.3.1.1
RXN-12534	EC-2.3.1
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
1.8.98.2-RXN	EC-1.8.98.2
2.4.1.46-RXN	EC-2.4.1.46
1.14.19.3-RXN	EC-1.14.19.3
RXN-12195	EC-3.6.1.15
RXN-8313	EC-1.14.19.35
RXN-15775	EC-2.1.1.314
RXN-7614	EC-6.2.1.26
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
RXN-15512	
RXN-12861	
GLUTDEHYD-RXN	EC-1.4.1.4
RXN-14917	EC-2.1.1.295
RXN-10708	EC-3.1.2.20
RXN-7668	EC-2.4.1.11
2.3.1.75-RXN	EC-2.3.1.75
5.1.2.3-RXN	EC-5.1.2.3
RXN-11475	EC-2.1.1.197
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
2.7.1.154-RXN	EC-2.7.1.154
TRANS-RXN0-277	EC-1.6.1.5
RXN3O-663	EC-2.4.1
SARCOX-RXN	EC-1.5.3.1
RXNQT-4146	
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC-2.4.2.28
RXN0-1461	EC-1.3.3.3
RXN-12302	EC-3.2.1.41
RXN-115	EC-1.14.11.13
RXN-14219	
RXN0-302	EC-4.6.1.12
3.2.1.52-RXN	EC-3.2.1.52
RXN-5642	EC-2.1.1.103
RXN-13416	
OHMETPYRKIN-RXN	EC-2.7.1.49
RXN-12686	EC-3.1.1.14
RXN-13894	EC-5.3.3
RXN-4142	EC-1.2.1.3
HEMEOSYN-RXN	EC-2.5.1.141
3.2.1.165-RXN	EC-3.2.1.165
RXN-2561	EC-5.5.1.24
RXN-9531	EC-2.3.1.179	EC-2.3.1.41
HEME-OXYGENASE-DECYCLIZING-RXN	EC-1.14.14.18
PHOSPHOLIPASE-A2-RXN	EC-3.1.1.4
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
RXN-17066	
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
RXN-5822	EC-3.1.3.2	EC-3.1.3.1
3.1.4.14-RXN	EC-3.1.4.14
D-ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.21
RXN-12581	EC-1.1.1.105
RXN-11843	EC-5.4.99.29
RXNIO2-2	EC-1.14.99
UREA-CARBOXYLASE-RXN	EC-6.3.4.6
RXN-5286	EC-1.3.1.75
HEMN-RXN	EC-1.3.98.3
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
RXN-11838	EC-5.4.99.24
RXN-7202	
RXN-11403	
RXN-15434	EC-1.14.13.200
RXN0-5055	EC-2.1.3.d
UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.76
UDPREDUCT-RXN	EC-1.17.4.1
RXN-12280	EC-3.2.1.68
RXN-13482	EC-2.1.3.3
RXN-11881	EC-1.14.13.70
DEOXYHYPUSINE-MONOOXYGENASE-RXN	EC-1.14.99.29
RXN-9661	EC-1.3.1.9
RXN-9230	EC-2.5.1.39
RXN-14372	EC-2.4.1.18
UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
RXN-9666	EC-3.1.2.2
RXN-16402	EC-6.2.1.3
LUMAZINESYN-RXN	EC-2.5.1.78
RXN-9245	EC-1.1.1.318
2.4.1.242-RXN	EC-2.4.1.242
RXN-1223	EC-3.13.1.1
RXN-12201	EC-2.7.9.4
GLY3KIN-RXN	EC-2.7.1.31
GLUCOSAMINEPNACETYLTRANS-RXN	EC-2.3.1.4
RXN-13299	EC-1.1.1.330
RXN66-526	EC-3.1.3.58	EC-3.1.3.9
3.6.3.20-RXN	EC-3.6.3.20
RXN-9539	EC-2.3.1.179	EC-2.3.1.41
RXN-1381	EC-2.3.1.15
RXN-9190	EC-2.5.1.74
STEROL-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.173
RXN-13689	EC-1.1.3.8
F16ALDOLASE-RXN	EC-4.1.2.13
ADENOSINE-KINASE-RXN	EC-2.7.1.20
UPPSYN-RXN	EC-2.5.1
R147-RXN	EC-1.13.11.54
RXN-14217	
RXN-11961	EC-1.1.1
RXN-10655	EC-1.1.1.100
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
RXN1F-20	EC-6.6.1.1
RXN-7977	EC-1.14.14
RXN0-5180	EC-2.5.1
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	EC-1.1.1.157
RXN-7185	EC-2.7.1
RXN-15490	
RXN-1102	EC-1.1.1.195
TRANS-RXN4LZ-6867	
RXN0-7114	EC-2.1.1
RXN-12070	EC-3.7.1.14
RXN-13197	EC-2.7.1.151
RXN0-5114	EC-3.1.3.3
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN1G-1053	EC-1.1.1
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
RXN-16333	
ACYL-LYSINE-DEACYLASE-RXN	EC-3.5.1.17
RXN-9310	EC-4.2.99.20
CARBONYL-REDUCTASE-NADPH-RXN	EC-1.1.1.184
RXN-7775	EC-1.14.11.9
RXN-15251	EC-3.5.1.123
RXN0-366	EC-3.2.2.1
RXN-9383	
RXN-8311	EC-1.14.19.35
RXN-13884	EC-1.3.1
RXN-13202	EC-6.3.4.16
RXN0-5408	EC-3.1.3.25
2.7.1.90-RXN	EC-2.7.1.90
L-ARABINOKINASE-RXN	EC-2.7.1.46
RXN-7699	EC-4.2.1.119
CYSTEAMINE-DIOXYGENASE-RXN	EC-1.13.11.19
RXN-12091	EC-1.5.3.13	EC-1.5.3.17
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-7883	EC-1.13.11
RXN-13031	EC-3.5.1
PURINE-NUCLEOSIDASE-RXN	EC-3.2.2.1
3.6.3.29-RXN	EC-3.6.3.29
RXN-7686	EC-1.14.11.22
RXN-9673	EC-6.2.1.3
NQOR-RXN	EC-1.6.5.2
RXN66-483	EC-6.2.1.3
2.4.1.125-RXN	EC-2.4.1.5	EC-2.4.1.125
2.3.1.168-RXN	EC-2.3.1.168
MALTODEG-RXN	
GLUTAMATE-SYNTHASE-NADH-RXN	EC-1.4.1.14
RXN66-281	
PHOSPHATIDATE-PHOSPHATASE-RXN	EC-3.1.3.4
L-PIPECOLATE-OXIDASE-RXN	EC-1.5.3.7
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
1.1.1.197-RXN	EC-1.1.1.197
RXN-15066	EC-2.3.1.23
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	EC-4.1.2.52
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
STROMBINE-DEHYDROGENASE-RXN	EC-1.5.1.22
THI-P-SYN-RXN	EC-2.5.1.3
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	EC-3.2.1.67
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
RXN-13879	
1.3.99.5-RXN	EC-1.3.1.22
RXN-1321	EC-1.13.11.12
2.3.1.179-RXN	EC-2.3.1.179
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-10697	EC-4.2.1.17
RXN-10039	EC-2.9.1.2
RXN0-4401	EC-3.6.1.22
RXN1G-260	EC-1.1.1
RXN-8136	EC-4.99.1
PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	EC-3.1.3.36
RXN-13139	EC-4.2.1.93
RXN-7182	EC-2.7.1
RXN-8301	EC-1.14.19.35
RXN-11949	EC-1.1.1
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXNQT-4141	EC-2.7.7.69
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
ACONITATEHYDR-RXN	
F16BDEPHOS-RXN	EC-3.1.3.11
ADOMET-DMK-METHYLTRANSFER-RXN	EC-2.1.1.163
1.14.11.9-RXN	EC-1.14.11.9
RXN-1725	EC-1.14.19.43
RXN-12896	
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
RXN-18910	EC-3.2.1.113
RXN-12626	EC-3.2.1.52
RXN-7968	EC-1.1.1.282
RXN-1602	EC-3.1.1.34	EC-3.1.1.79
ALDOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.121
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.20
RXN-13193	EC-1.14.15.21
KDOTRANS2-RXN	EC-2.4.99.13
RXN-12414	EC-1.3.99.31
RXN-11374	
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
1.18.1.2-RXN	EC-1.18.1.2
RXN-16389	EC-6.2.1.3
RXN-11151	EC-1.1.1.365
RXN-12753	
RXN0-7013	
PEROXID-RXN	EC-1.11.1.7
RXN-7952	EC-3.1.1.79
NARINGENIN-3-DIOXYGENASE-RXN	EC-1.14.11.9
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXNIO2-10	EC-4.2.1.1
RXN-12532	EC-3.4.17
