#
#  chlamycyc 8.0 Pathways link table generated on Fri Jun 29, 2018
#
PWY-782	glycolipid desaturation	fatty acid desaturation	polyunsaturated glycolipid biosynthesis
PWY-3981	&beta;-alanine biosynthesis I	&beta;-alanine biosynthesis from polyamines
PWY-4321	L-glutamate degradation IV	GABA shunt	4-aminobutyrate shunt	&gamma;-aminobutyrate shunt
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	
PWYIO2-3	carbon concentration mechanism (Chlamydomonas)	
PWY-5791	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	DHNA biosynthesis
HISTSYN-PWY	L-histidine biosynthesis	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	lipid-A-precursor biosynthesis
PWY-5918	superpathay of heme <i>b</i> biosynthesis from glutamate	
PWY-3282	superpathway of ammonia assimilation (plants)	GS/GOGAT pathway
PWY-5172	acetyl-CoA biosynthesis III (from citrate)	
PWY-5098	chlorophyll <i>a</i> degradation I	
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
PWY-7199	pyrimidine deoxyribonucleosides salvage	
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)	
PWY-6473	4-aminobutanoate degradation IV	GABA metabolism during fruit ripening	4-aminobutyrate degradation IV	4-aminobutanoic acid degradation IV
PWY-5086	chlorophyll <i>a</i> biosynthesis I	
ETHYL-PWY	ethylene biosynthesis I (plants)	ethene biosynthesis from methionine
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-3941	&beta;-alanine biosynthesis II	&beta;-alanine biosynthesis from proprionate
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
GLUTAMINDEG-PWY	L-glutamine degradation I	glutamine - glutamate pathway I	glutamine degradation IV
PWY-6595	superpathway of guanosine nucleotides degradation (plants)	
PWY-5382	hydrogen oxidation II (aerobic, NAD)	
PWY-2261	ascorbate glutathione cycle	hydrogen peroxide detoxification
PWY0-1535	D-serine degradation	
PWY0-1313	acetate conversion to acetyl-CoA	acetic acid conversion to acetyl-CoA
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY-7164	chlorophyll <i>a</i> degradation III	
PWY-7791	UMP biosynthesis III	uridine-5'-phosphate biosynthesis III	<i>de novo</i> biosynthesis of uridine-5'-phosphate III	<i>de novo</i> biosynthesis of uridine-5'-monophosphate III
PWY-6599	guanine and guanosine salvage II	
GLUCONEO-PWY	gluconeogenesis I	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-801	homocysteine and cysteine interconversion	transsulfuration pathway
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PWY-5142	acyl-ACP thioesterase pathway	
PWY-43	putrescine biosynthesis II	
THIOREDOX-PWY	thioredoxin pathway	
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY66-421	homocarnosine biosynthesis	
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	CoA biosynthesis
PWY-6963	ammonia assimilation cycle I	GS/GOGAT pathway
PWY-6369	inositol pyrophosphates biosynthesis	diphosphorylated inositol polyphosphates biosynthesis
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-7764	chlorophyll <i>a</i> biosynthesis III	
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	
PWY-6556	pyrimidine ribonucleosides salvage II	
PWY-3462	L-phenylalanine biosynthesis II	
PWY-6909	thiazole biosynthesis III (eukaryotes)	
PWY-5493	reductive monocarboxylic acid cycle	reductive monocarboxylate cycle
PWY-3781	aerobic respiration I (cytochrome c)	aerobic respiration -- electron donor II
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)	|CITS: [22526507]|
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	purine biosynthesis 2
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)	<i>p</i>-hydroxybenzoate biosynthesis II
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
