Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL
melibiose degradation|PWY0-1301|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1301
methionine degradation I (to homocysteine)|METHIONINE-DEG1-PWY|Methionine Degradation|METHIONINE-DEG|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=METHIONINE-DEG1-PWY
methylerythritol phosphate pathway|NONMEVIPP-PWY|||1.1111112|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=NONMEVIPP-PWY
nitrate reduction II (assimilatory)|PWY-381|Nitrate Reduction|Nitrate-Reduction|2.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-381
oleate biosynthesis I (plants)|PWY-5147|Oleate Biosynthesis|Oleate-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5147
ornithine biosynthesis|GLUTORN-PWY|||1.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTORN-PWY
oxalate biosynthesis|PWY-6699|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6699
p-aminobenzoate biosynthesis|PWY-6543|Folate Biosynthesis|Folate-Biosynthesis|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6543
palmitate biosynthesis II (bacteria and plants)|PWY-5971|Palmitate Biosynthesis|Palmitate-Biosynthesis|0.79310346|0.44827586|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5971
palmitoleate biosynthesis II|PWY-5366|Palmitoleate Biosynthesis|Palmitoleate-Biosynthesis|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5366
pentose phosphate pathway (non-oxidative branch)|NONOXIPENT-PWY|||1.8|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=NONOXIPENT-PWY
pentose phosphate pathway (oxidative branch)|OXIDATIVEPENT-PWY|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=OXIDATIVEPENT-PWY
pentose phosphate pathway (partial)|P21-PWY|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=P21-PWY
phenylethanol biosynthesis|PWY-5751|||1.75|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
phosphate acquisition|PWY-6348|||3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6348
phosphate utilization in cell wall regeneration|PWY-6357|||3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6357
phosphatidylethanolamine biosynthesis I|PWY-5669|Phosphatidylethanolamine Biosynthesis|PhosphatidylethanolamineBiosynthesis|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5669
phosphatidylethanolamine biosynthesis II|PWY4FS-6|Phosphatidylethanolamine Biosynthesis|PhosphatidylethanolamineBiosynthesis|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY4FS-6
phospholipases|LIPASYN-PWY|||0.4|0.4|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPASYN-PWY
phosphopantothenate biosynthesis I|PANTO-PWY|Pantothenate Biosynthesis|Pantothenate-Biosynthesis|0.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PANTO-PWY
photosynthesis light reactions|PWY-101|||0.75|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-101
phytate degradation I|PWY-4702|Phytate Degradation|Phytate-Degradation|0.21428572|0.071428575|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4702
proline biosynthesis I|PROSYN-PWY|Proline Biosynthesis|PROLINE-SYN|1.0|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PROSYN-PWY
proline biosynthesis II (from arginine)|PWY-4981|Proline Biosynthesis|PROLINE-SYN|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4981
proline degradation|PROUT-PWY|Proline Degradation|PROLINE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PROUT-PWY
putrescine biosynthesis II|PWY-43|Putrescine Biosynthesis|Putrescine-Biosynthesis|1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-43
putrescine biosynthesis IV|PWY-6305|Putrescine Biosynthesis|Putrescine-Biosynthesis|0.75|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6305
pyridine nucleotide cycling (plants)|PWY-5381|||0.90909094|0.36363637|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5381
pyridoxal 5'-phosphate salvage pathway|PLPSAL-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.8|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PLPSAL-PWY
pyrimidine deoxyribonucleotides de novo biosynthesis I|PWY0-166|Pyrimidine Deoxyribonucleotides De Novo Biosynthesis|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn|1.6923077|0.61538464|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-166
pyrimidine ribonucleosides degradation II|PWY-6556|Pyrimidine Ribonucleosides Degradation|Pyrimidine-Ribonucleosides-Degradation|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6556
pyrimidine ribonucleotides interconversion|PWY-5687|||2.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5687
reductive TCA cycle I|P23-PWY|Reductive TCA Cycles|Reductive-TCA-Cycles|1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=P23-PWY
salvage pathways of pyrimidine ribonucleotides|PWY0-163|||1.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-163
sciadonic acid biosynthesis|PWY-6598|||2.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6598
seed germination protein turnover|PWY-6018|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6018
selenocysteine biosynthesis II (archaea and eukaryotes)|PWY-6281|Selenocysteine Biosynthesis|Selenocysteine-Biosynthesis|0.5|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6281
serine biosynthesis|SERSYN-PWY|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SERSYN-PWY
serine racemization|PWY-6196|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6196
siroheme biosynthesis|PWY-5194|||1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5194
spermidine biosynthesis I|BSUBPOLYAMSYN-PWY|Spermidine Biosynthesis|Spermidine-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BSUBPOLYAMSYN-PWY
sphingolipid biosynthesis (plants)|PWY-5129|||0.30769232|0.23076923|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5129
stachyose degradation|PWY-6527|||0.5555556|0.5555556|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6527
starch biosynthesis|PWY-622|Glucogen and Starch Biosynthesis|GLYCOGEN-BIOSYN|3.0|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-622
stearate biosynthesis II (plants)|PWY-5989|Stearate Biosynthesis|Stearate-Biosynthesis|1.6|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5989
sucrose biosynthesis|SUCSYN-PWY|||0.6666667|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=SUCSYN-PWY
sucrose degradation I|SUCUTIL-PWY|Sucrose Degradation|SUCROSE-DEG|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SUCUTIL-PWY
sucrose degradation III|PWY-621|Sucrose Degradation|SUCROSE-DEG|1.125|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-621
sulfate activation for sulfonation|PWY-5340|||1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5340
sulfate reduction II (assimilatory)|SULFMETII-PWY|Sulfate Reduction|Sulfate-Reduction|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SULFMETII-PWY
sulfite oxidation IV|PWY-5326|Sulfite Oxidation|Sulfite-Oxidation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5326
sulfolipid biosynthesis|PWYQT-4427|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWYQT-4427
superoxide radicals degradation|DETOX1-PWY|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=DETOX1-PWY
tRNA charging pathway|TRNA-CHARGING-PWY|||1.9|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=TRNA-CHARGING-PWY
tRNA splicing|PWY-6689|||0.4|0.2|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6689
tetrahydrofolate biosynthesis|PWY-6614|Folate Biosynthesis|Folate-Biosynthesis|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6614
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|Folate Biosynthesis|Folate-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
tetrapyrrole biosynthesis I|PWY-5188|Tetrapyrrole Biosynthesis|Tetrapyrrole-Biosynthesis|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5188
thiamine biosynthesis II|THISYNARA-PWY|Thiamine Biosynthesis|Thiamine-Biosynthesis|0.625|0.375|http://biocyc.org/META/new-image?type=PATHWAY&object=THISYNARA-PWY
thioredoxin pathway|THIOREDOX-PWY|||2.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=THIOREDOX-PWY
thiosulfate disproportionation III (rhodanese)|PWY-5350|Thiosulfate Disproportionation|Thiosulfate-Disproportionation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5350
threonine biosynthesis from homoserine|HOMOSER-THRESYN-PWY|Threonine Biosynthesis|THREONINE-BIOSYNTHESIS|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSER-THRESYN-PWY
thymine degradation|PWY-6430|||0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6430
trehalose degradation II (trehalase)|PWY0-1182|Trehalose Degradation|Trehalose-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1182
triacylglycerol biosynthesis|TRIGLSYN-PWY|||1.6|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=TRIGLSYN-PWY
triacylglycerol degradation|LIPAS-PWY|||1.0|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPAS-PWY
tyrosine biosynthesis II|PWY-3461|Tyrosine Biosynthesis|TYROSINE-SYN|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3461
uracil degradation II (reductive)|PWY-3982|Uracil Degradation|Uracil-Degradation|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3982
urate degradation to allantoin|PWY-5691|Urate Degradation|Urate-Degradation|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5691
urea degradation I|PWY-5703|Urea Degradation|Urea-Degradation|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5703
uridine-5'-phosphate biosynthesis|PWY-5686|||1.1666666|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5686
valine biosynthesis|VALSYN-PWY|Valine Biosynthesis|VALINE-BIOSYNTHESIS|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=VALSYN-PWY
valine degradation I|VALDEG-PWY|Valine Degradation|VALINE-DEG|0.625|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
valine degradation II|PWY-5057|Valine Degradation|VALINE-DEG|2.6666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5057
very long chain fatty acid biosynthesis|PWY-5080|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|0.25|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5080
vitamin E biosynthesis|PWY-1422|||0.5714286|0.42857143|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1422
wax esters biosynthesis II|PWY-5885|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5885
wound-induced proteolysis I|PWY-5988|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5988
