This report was generated on 03-Jan-2020  11:46:26.

* = already updated

Compounds


132 Compounds have structure differences between ChlamyCyc and MetaCyc.
 	ID	Name	Slot	ChlamyCyc Value	MetaCyc Value	
	CPD0-1445	L-alanyl-L-glutamate	((BIGG "LalaLglu" NIL |kothari| 3661824226 NIL NIL) (BIGG "2329493" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "5370726" NIL |kothari| 3563631950 NIL NIL) (CHEBI "61396" NIL |ong| 3523630741 NIL NIL) (CAS "13187-90-1" NIL |kr| 3515524424 NIL NIL) (PUBCHEM "7006474" NIL |taltman| 3466375284 NIL NIL))	((BIGG "LalaLglu" NIL |kothari| 3661824226 NIL NIL) (CHEMSPIDER "5370726" NIL |kothari| 3563631950 NIL NIL) (CHEBI "61396" NIL |ong| 3523630741 NIL NIL) (CAS "13187-90-1" NIL |kr| 3515524424 NIL NIL) (PUBCHEM "7006474" NIL |taltman| 3466375284 NIL NIL))	
	CPD-4124	24-ethylidenelophenol	((CHEBI "33203" NIL |kothari| 3594050662 NIL NIL) (PUBCHEM "9548595" NIL |kothari| 3686579210 NIL NIL) (CHEBI "1304" NIL |kothari| 3594050662 NIL NIL) (PUBCHEM "25245448" NIL |taltman| 3466375284 NIL NIL) (LIGAND-CPD "C11523" NIL |taltman| 3459474374 NIL NIL))	((PUBCHEM "9548595" NIL |kothari| 3686579210 NIL NIL) (CHEBI "33203" NIL |kothari| 3594050662 NIL NIL) (LIGAND-CPD "C11523" NIL |taltman| 3459474374 NIL NIL))	
	CHORISMATE	chorismate	((REFMET "Chorismic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "chor" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB12199" NIL |kothari| 3608602144 NIL NIL) (BIGG "34395" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "4573889" NIL |kothari| 3563632035 NIL NIL) (PUBCHEM "5460312" NIL |taltman| 3466375284 NIL NIL) (CHEBI "29748" NIL |taltman| 3452363536 NIL NIL) (CAS "55508-12-8" NIL |kr| 3346617700 NIL NIL) (LIGAND-CPD "C00251" NIL |kaipa| 3311532640 NIL NIL))	((REFMET "Chorismic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "chor" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB12199" NIL |kothari| 3608602144 NIL NIL) (CHEMSPIDER "4573889" NIL |kothari| 3563632035 NIL NIL) (PUBCHEM "5460312" NIL |taltman| 3466375284 NIL NIL) (CHEBI "29748" NIL |taltman| 3452363536 NIL NIL) (CAS "55508-12-8" NIL |kr| 3346617700 NIL NIL) (LIGAND-CPD "C00251" NIL |kaipa| 3311532640 NIL NIL))	
	CPD-14763	3''-<i>O</i>-acetyl-ADP-ribose	((PUBCHEM "90658045" NIL |kothari| 3641818092 NIL NIL))	((CHEBI "142723" NIL |kothari| 3760050701 NIL NIL) (PUBCHEM "90658045" NIL |kothari| 3641818092 NIL NIL))	
	5-HYDROXY-TRYPTOPHAN	5-hydroxy-L-tryptophan	((REFMET "5-Hydroxy-L-tryptophan" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "6971044" NIL |kothari| 3641818093 NIL NIL) (HMDB "HMDB15571" NIL |kothari| 3608597114 NIL NIL) (METABOLIGHTS "MTBLC58266" NIL |kothari| 3608991478 NIL NIL) (CAS "56-69-9") (LIGAND-CPD "C01017" NIL |kr| 3410284649 NIL NIL) (PUBCHEM "25243949" NIL |taltman| 3466375285 NIL NIL) (PUBCHEM "25243949" NIL |kothari| 3587478476 NIL NIL) (CHEBI "58266" NIL |fulcher| 3577729126 NIL NIL) (CAS "4350-09-8" NIL |fulcher| 3577728795 NIL NIL) (LIGAND-CPD "C00643" NIL |fulcher| 3577728795 NIL NIL))	((REFMET "5-Hydroxy-L-tryptophan" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "6971044" NIL |kothari| 3641818093 NIL NIL) (METABOLIGHTS "MTBLC58266" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB15571" NIL |kothari| 3608597114 NIL NIL) (CHEBI "58266" NIL |fulcher| 3577729126 NIL NIL) (CAS "4350-09-8" NIL |fulcher| 3577728795 NIL NIL) (LIGAND-CPD "C00643" NIL |fulcher| 3577728795 NIL NIL))	
	3Z-PHYCOCYANOBILIN	(2R,3Z)-phycocyanobilin	((PUBCHEM "46224546" NIL |kothari| 3641818093 NIL NIL) (CHEBI "57437" NIL |caspi| 3572802801 NIL NIL) (PUBCHEM "25244600" NIL |taltman| 3466375284 NIL NIL))	((PUBCHEM "46224546" NIL |kothari| 3641818093 NIL NIL) (CHEBI "57437" NIL |caspi| 3572802801 NIL NIL))	
	CPD-2961	D-gluconate 6-phosphate	((REFMET "6-Phosphogluconic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "6pgc" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC58759" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB01316" NIL |kothari| 3608602683 NIL NIL) (BIGG "34686" NIL |kothari| 3584718837 NIL NIL) (CHEBI "58759" NIL |ong| 3523630742 NIL NIL) (PUBCHEM "36688186" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C00345" NIL |kr| 3346617699 NIL NIL))	((REFMET "6-Phosphogluconic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "6pgc" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC58759" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB01316" NIL |kothari| 3608602683 NIL NIL) (CHEBI "58759" NIL |ong| 3523630742 NIL NIL) (PUBCHEM "36688186" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C00345" NIL |kr| 3346617699 NIL NIL))	
	DITP	dITP	((REFMET "dITP" NIL |midford| 3701443689 NIL NIL) (BIGG "ditp" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC61382" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB03537" NIL |kothari| 3608602622 NIL NIL) (BIGG "37399" NIL |kothari| 3584718837 NIL NIL) (CHEBI "61382" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "25203822" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C01345" NIL |kr| 3346617700 NIL NIL))	((PUBCHEM "135398615" NIL |kothari| 3760047716 NIL NIL) (REFMET "dITP" NIL |midford| 3701443689 NIL NIL) (BIGG "ditp" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC61382" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB03537" NIL |kothari| 3608602622 NIL NIL) (CHEBI "61382" NIL |ong| 3523630741 NIL NIL) (LIGAND-CPD "C01345" NIL |kr| 3346617700 NIL NIL))	
	2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	((BIGG "2p4c2me" NIL |kothari| 3661824226 NIL NIL) (BIGG "216335" NIL |kothari| 3584718837 NIL NIL) (CHEBI "57919" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "46878430" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C11436" NIL |taltman| 3459474374 NIL NIL))	((BIGG "2p4c2me" NIL |kothari| 3661824226 NIL NIL) (CHEBI "57919" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "46878430" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C11436" NIL |taltman| 3459474374 NIL NIL))	
	XYLULOSE-5-PHOSPHATE	D-xylulose 5-phosphate	((REFMET "Xylulose-5-phosphate" NIL |midford| 3701443689 NIL NIL) (BIGG "xu5p__D" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC57737" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00868" NIL |kothari| 3608601951 NIL NIL) (BIGG "34329" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "20015725" NIL |kothari| 3563632053 NIL NIL) (CHEBI "57737" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "5459820" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00231" NIL |kr| 3346617701 NIL NIL) (CAS "60802-29-1"))	((REFMET "Xylulose-5-phosphate" NIL |midford| 3701443689 NIL NIL) (BIGG "xu5p__D" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC57737" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00868" NIL |kothari| 3608601951 NIL NIL) (CHEMSPIDER "20015725" NIL |kothari| 3563632053 NIL NIL) (CHEBI "57737" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "5459820" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00231" NIL |kr| 3346617701 NIL NIL) (CAS "60802-29-1"))	
	CPD-2188	1-18:1-2-16:1-monogalactosyldiacylglycerol	((PUBCHEM "90658678" NIL |kothari| 3641818093 NIL NIL) (PUBCHEM "25244869" NIL |taltman| 3466375284 NIL NIL))	((PUBCHEM "90658678" NIL |kothari| 3641818093 NIL NIL))	
	CPD-7078	GDP-&beta;-L-gulose	((PUBCHEM "90657274" NIL |kothari| 3641818093 NIL NIL) (PUBCHEM "25200915" NIL |taltman| 3466375284 NIL NIL) (LIGAND-CPD "C15925" NIL |taltman| 3459474373 NIL NIL))	((PUBCHEM "135887876" NIL |kothari| 3760047716 NIL NIL) (LIGAND-CPD "C15925" NIL |taltman| 3459474373 NIL NIL))	
	N-ACETYL-D-GLUCOSAMINE-1-P	<i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate	((BIGG "acgam1p" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB01367" NIL |kothari| 3608601825 NIL NIL) (BIGG "43457" NIL |kothari| 3584718837 NIL NIL) (CHEBI "57776" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "25243937" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C04256" NIL |kr| 3346617699 NIL NIL))	((BIGG "acgam1p" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB01367" NIL |kothari| 3608601825 NIL NIL) (CHEBI "57776" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "25243937" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C04256" NIL |kr| 3346617699 NIL NIL))	
	CPD-12367	8-oxo-GMP	(PUBCHEM 46173374 NIL taltman 3497976212 NIL NIL)	(PUBCHEM 135871110 NIL kothari 3760047716 NIL NIL)	
	CMP-KDO	CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate	((PUBCHEM "46878557" NIL |kothari| 3696259643 NIL NIL) (CHEBI "59825" NIL |kothari| 3716218713 NIL NIL) (CHEBI "85987" NIL |kothari| 3686585520 NIL NIL) (PUBCHEM "91825729" NIL |kothari| 3686579211 NIL NIL) (BIGG "ckdo" NIL |kothari| 3661824226 NIL NIL) (LIGAND-CPD "C04121" NIL |kr| 3410284650 NIL NIL))	((CHEBI "59825" NIL |kothari| 3716218713 NIL NIL) (PUBCHEM "46878557" NIL |kothari| 3696259643 NIL NIL) (BIGG "ckdo" NIL |kothari| 3661824226 NIL NIL) (LIGAND-CPD "C04121" NIL |kr| 3410284650 NIL NIL))	
	MPBQ	2-methyl-6-phytyl-1,4-benzoquinol	((PUBCHEM "71768135" NIL |kothari| 3641818093 NIL NIL) (CHEBI "75920" NIL |kothari| 3641835422 NIL NIL) (CHEBI "75406" NIL |kothari| 3619448394 NIL NIL) (METABOLIGHTS "MTBLC75920" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB38959" NIL |kothari| 3594494456 NIL NIL) (PUBCHEM "23724601" NIL |taltman| 3466375284 NIL NIL) (LIGAND-CPD "C15882" NIL |kr| 3410284650 NIL NIL))	((CHEBI "75920" NIL |kothari| 3641835422 NIL NIL) (PUBCHEM "71768135" NIL |kothari| 3641818093 NIL NIL) (METABOLIGHTS "MTBLC75920" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB38959" NIL |kothari| 3594494456 NIL NIL) (LIGAND-CPD "C15882" NIL |kr| 3410284650 NIL NIL))	
	SHIKIMATE-5P	shikimate 3-phosphate	((BIGG "skm5p" NIL |kothari| 3661824226 NIL NIL) (BIGG "41343" NIL |kothari| 3584718837 NIL NIL) (CHEBI "145989" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "14506806" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C03175" NIL |kr| 3346617699 NIL NIL))	((BIGG "skm5p" NIL |kothari| 3661824226 NIL NIL) (CHEBI "145989" NIL |taltman| 3498180761 NIL NIL) (PUBCHEM "14506806" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C03175" NIL |kr| 3346617699 NIL NIL))	
	CARBAMOYL-P	carbamoyl phosphate	((BIGG "cbp" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC58228" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB01096" NIL |kothari| 3608602387 NIL NIL) (BIGG "34125" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "2666990" NIL |kothari| 3563632168 NIL NIL) (CHEBI "58228" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "3423467" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00169" NIL |kr| 3346617701 NIL NIL) (CAS "590-55-6"))	((BIGG "cbp" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC58228" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB01096" NIL |kothari| 3608602387 NIL NIL) (CHEMSPIDER "2666990" NIL |kothari| 3563632168 NIL NIL) (CHEBI "58228" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "3423467" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00169" NIL |kr| 3346617701 NIL NIL) (CAS "590-55-6"))	
	L-ALPHA-ALANINE	L-alanine	((REFMET "Alanine" NIL |midford| 3697479617 NIL NIL) (BIGG "ala__L" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC57972" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00161" NIL |kothari| 3608597114 NIL NIL) (BIGG "33629" NIL |kothari| 3584718837 NIL NIL) (CHEBI "57972" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "7311724" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00041" NIL |kaipa| 3311532638 NIL NIL) (CAS "56-41-7"))	((REFMET "Alanine" NIL |midford| 3697479617 NIL NIL) (BIGG "ala__L" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC57972" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00161" NIL |kothari| 3608597114 NIL NIL) (CHEBI "57972" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "7311724" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C00041" NIL |kaipa| 3311532638 NIL NIL) (CAS "56-41-7"))	
	LANOSTEROL	lanosterol	((REFMET "Lanosterol" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "246983" NIL |kothari| 3641818093 NIL NIL) (METABOLIGHTS "MTBLC16521" NIL |kothari| 3608997457 NIL NIL) (HMDB "HMDB01251" NIL |kothari| 3608602952 NIL NIL) (DRUGBANK "DB03696" NIL |kothari| 3594430405 NIL NIL) (CHEBI "16521" NIL |kothari| 3594046689 NIL NIL) (PUBCHEM "25200754" NIL |taltman| 3466375285 NIL NIL) (LIGAND-CPD "C01724" NIL |taltman| 3459474373 NIL NIL) (CAS "79-63-0"))	((REFMET "Lanosterol" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "246983" NIL |kothari| 3641818093 NIL NIL) (METABOLIGHTS "MTBLC16521" NIL |kothari| 3608997457 NIL NIL) (HMDB "HMDB01251" NIL |kothari| 3608602952 NIL NIL) (DRUGBANK "DB03696" NIL |kothari| 3594430405 NIL NIL) (CHEBI "16521" NIL |kothari| 3594046689 NIL NIL) (LIGAND-CPD "C01724" NIL |taltman| 3459474373 NIL NIL) (CAS "79-63-0"))	
	O-PHOSPHO-L-HOMOSERINE	O-phospho-L-homoserine	((REFMET "O-Phosphohomoserine" NIL |midford| 3701443689 NIL NIL) (BIGG "phom" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC57590" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB03484" NIL |kothari| 3608603004 NIL NIL) (BIGG "36811" NIL |kothari| 3584718837 NIL NIL) (CHEBI "57590" NIL |ong| 3523630742 NIL NIL) (PUBCHEM "46878406" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C01102" NIL |kr| 3346617699 NIL NIL))	((REFMET "O-Phosphohomoserine" NIL |midford| 3701443689 NIL NIL) (BIGG "phom" NIL |kothari| 3661824226 NIL NIL) (METABOLIGHTS "MTBLC57590" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB03484" NIL |kothari| 3608603004 NIL NIL) (CHEBI "57590" NIL |ong| 3523630742 NIL NIL) (PUBCHEM "46878406" NIL |ong| 3523387880 NIL NIL) (LIGAND-CPD "C01102" NIL |kr| 3346617699 NIL NIL))	
	CPD-8076	1-18:3-2-16:1-monogalactosyldiacylglycerol	((PUBCHEM "90658391" NIL |kothari| 3641818093 NIL NIL) (PUBCHEM "25244152" NIL |taltman| 3466375284 NIL NIL))	((PUBCHEM "90658391" NIL |kothari| 3641818093 NIL NIL))	
	CPD-12366	8-oxo-GTP	(PUBCHEM 46173271 NIL taltman 3497976212 NIL NIL)	(PUBCHEM 135871106 NIL kothari 3760047716 NIL NIL)	
	CPD0-1083	<i>aldehydo</i>-L-galactonate	((BIGG "galctn__L" NIL |kothari| 3661871748 NIL NIL) (BIGG "3138483" NIL |kothari| 3584718837 NIL NIL) (CHEBI "53071" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "44229140" NIL |taltman| 3466375283 NIL NIL) (LIGAND-CPD "c15930" NIL |djohnson| 3385120202 NIL NIL))	((BIGG "galctn__L" NIL |kothari| 3661871748 NIL NIL) (CHEBI "53071" NIL |ong| 3523630741 NIL NIL) (PUBCHEM "44229140" NIL |taltman| 3466375283 NIL NIL) (LIGAND-CPD "c15930" NIL |djohnson| 3385120202 NIL NIL))	
	D-MYO-INOSITOL-34-BISPHOSPHATE	D-<i>myo</i>-inositol (3,4)-bisphosphate	((CHEBI "83241" NIL |kothari| 3641835422 NIL NIL) (HMDB "HMDB06235" NIL |kothari| 3608602241 NIL NIL) (CHEBI "4277" NIL |kothari| 3594051120 NIL NIL) (CHEMSPIDER "19980559" NIL |kothari| 3563631811 NIL NIL) (PUBCHEM "21120281" NIL |taltman| 3466375284 NIL NIL) (LIGAND-CPD "C04063" NIL |taltman| 3459474373 NIL NIL))	((CHEBI "83241" NIL |kothari| 3641835422 NIL NIL) (HMDB "HMDB06235" NIL |kothari| 3608602241 NIL NIL) (CHEMSPIDER "19980559" NIL |kothari| 3563631811 NIL NIL) (PUBCHEM "21120281" NIL |taltman| 3466375284 NIL NIL) (LIGAND-CPD "C04063" NIL |taltman| 3459474373 NIL NIL))	
	CPD-11526	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(E-buta-2-enoyl)-CoA	((PUBCHEM "126961185" NIL |kothari| 3716212930 NIL NIL) (PUBCHEM "44237329" NIL |taltman| 3466375284 NIL NIL))	((PUBCHEM "126961185" NIL |kothari| 3716212930 NIL NIL))	
	CPD-13612	D-<i>erythro</i>-sphinganine	((REFMET "Sphinganine" NIL |midford| 3701443689 NIL NIL) (CHEMSPIDER "82609" NIL |caspi| 3648833425 NIL NIL) (CHEBI "16566" NIL |caspi| 3540334841 NIL NIL) (PUBCHEM "46878428" NIL |kothari| 3619399518 NIL NIL) (METABOLIGHTS "MTBLC57817" NIL |kothari| 3608991478 NIL NIL) (CHEBI "57817" NIL |kothari| 3608037944 NIL NIL) (HMDB "HMDB00269" NIL |kothari| 3604149782 NIL NIL) (LIPID_MAPS "LMSP01020001" NIL |kothari| 3594492010 NIL NIL))	((REFMET "Sphinganine" NIL |midford| 3701443689 NIL NIL) (CHEMSPIDER "82609" NIL |caspi| 3648833425 NIL NIL) (PUBCHEM "46878428" NIL |kothari| 3619399518 NIL NIL) (METABOLIGHTS "MTBLC57817" NIL |kothari| 3608991478 NIL NIL) (CHEBI "57817" NIL |kothari| 3608037944 NIL NIL) (HMDB "HMDB00269" NIL |kothari| 3604149782 NIL NIL) (LIPID_MAPS "LMSP01020001" NIL |kothari| 3594492010 NIL NIL))	
	CPD-12185	homocarnosine	((REFMET "Homocarnosine" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "90657684" NIL |kothari| 3641818092 NIL NIL) (HMDB "HMDB00745" NIL |kothari| 3608597114 NIL NIL) (PUBCHEM "46173208" NIL |taltman| 3497976212 NIL NIL))	((REFMET "Homocarnosine" NIL |midford| 3697479617 NIL NIL) (PUBCHEM "90657684" NIL |kothari| 3641818092 NIL NIL) (HMDB "HMDB00745" NIL |kothari| 3608597114 NIL NIL))	
	PREPHENATE	prephenate	((BIGG "pphn" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB12283" NIL |kothari| 3608602368 NIL NIL) (BIGG "34406" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "4573884" NIL |kothari| 3563632035 NIL NIL) (PUBCHEM "5460303" NIL |taltman| 3466375284 NIL NIL) (CHEBI "29934" NIL |taltman| 3452363600 NIL NIL) (LIGAND-CPD "C00254" NIL |kr| 3346617701 NIL NIL) (CAS "126-49-8"))	((BIGG "pphn" NIL |kothari| 3661824226 NIL NIL) (HMDB "HMDB12283" NIL |kothari| 3608602368 NIL NIL) (CHEMSPIDER "4573884" NIL |kothari| 3563632035 NIL NIL) (PUBCHEM "5460303" NIL |taltman| 3466375284 NIL NIL) (CHEBI "29934" NIL |taltman| 3452363600 NIL NIL) (LIGAND-CPD "C00254" NIL |kr| 3346617701 NIL NIL) (CAS "126-49-8"))	
	CPD-7836	myristate	((REFMET "Myristic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "ttdca" NIL |kothari| 3661824225 NIL NIL) (METABOLIGHTS "MTBLC30807" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00806" NIL |kothari| 3608602437 NIL NIL) (BIGG "215851" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "3290116" NIL |kothari| 3563632196 NIL NIL) (PUBCHEM "4075158" NIL |taltman| 3466375284 NIL NIL) (CHEBI "30807" NIL |taltman| 3452363408 NIL NIL) (LIGAND-CPD "C06424" NIL |kr| 3410284649 NIL NIL) (CAS "544-63-8" NIL |keseler| 3373047613 NIL NIL))	((REFMET "Myristic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "ttdca" NIL |kothari| 3661824225 NIL NIL) (METABOLIGHTS "MTBLC30807" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00806" NIL |kothari| 3608602437 NIL NIL) (CHEMSPIDER "3290116" NIL |kothari| 3563632196 NIL NIL) (PUBCHEM "4075158" NIL |taltman| 3466375284 NIL NIL) (CHEBI "30807" NIL |taltman| 3452363408 NIL NIL) (LIGAND-CPD "C06424" NIL |kr| 3410284649 NIL NIL) (CAS "544-63-8" NIL |keseler| 3373047613 NIL NIL))	
	ADP-D-GLUCOSE	ADP-&alpha;-D-glucose	((REFMET "ADP-glucose" NIL |midford| 3701443689 NIL NIL) (PUBCHEM "42609821" NIL |kothari| 3641818093 NIL NIL) (BIGG "adpglc" NIL |kothari| 3661824226 NIL NIL) (PUBCHEM "25244286" NIL |taltman| 3466375285 NIL NIL) (METABOLIGHTS "MTBLC57498" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB06557" NIL |kothari| 3608602972 NIL NIL) (CHEBI "57498" NIL |kothari| 3594046689 NIL NIL) (BIGG "35161" NIL |kothari| 3584718837 NIL NIL) (PUBCHEM "25244286" NIL |taltman| 3451921010 NIL NIL) (LIGAND-CPD "C00498" NIL |kr| 3346617701 NIL NIL) (CAS "2140-58-1"))	((REFMET "ADP-glucose" NIL |midford| 3701443689 NIL NIL) (BIGG "adpglc" NIL |kothari| 3661824226 NIL NIL) (PUBCHEM "42609821" NIL |kothari| 3641818093 NIL NIL) (METABOLIGHTS "MTBLC57498" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB06557" NIL |kothari| 3608602972 NIL NIL) (CHEBI "57498" NIL |kothari| 3594046689 NIL NIL) (LIGAND-CPD "C00498" NIL |kr| 3346617701 NIL NIL) (CAS "2140-58-1"))	
	GLT	L-glutamate	((REFMET "Glutamic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "glu__L" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC29985" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00148" NIL |kothari| 3608601804 NIL NIL) (BIGG "33561" NIL |kothari| 3584718837 NIL NIL) (CHEMSPIDER "4573882" NIL |kothari| 3563632036 NIL NIL) (PUBCHEM "5460299" NIL |taltman| 3466375284 NIL NIL) (KNAPSACK "C00001358" NIL |achi1| 3445698168 NIL NIL) (CHEBI "29985" NIL |taltman| 3452363479 NIL NIL) (LIGAND-CPD "C00025" NIL |keseler| 3341253891 NIL NIL) (CAS "56-86-0"))	((REFMET "Glutamic acid" NIL |midford| 3701443689 NIL NIL) (BIGG "glu__L" NIL |kothari| 3661871748 NIL NIL) (METABOLIGHTS "MTBLC29985" NIL |kothari| 3608991478 NIL NIL) (HMDB "HMDB00148" NIL |kothari| 3608601804 NIL NIL) (CHEMSPIDER "4573882" NIL |kothari| 3563632036 NIL NIL) (PUBCHEM "5460299" NIL |taltman| 3466375284 NIL NIL) (KNAPSACK "C00001358" NIL |achi1| 3445698168 NIL NIL) (CHEBI "29985" NIL |taltman| 3452363479 NIL NIL) (LIGAND-CPD "C00025" NIL |keseler| 3341253891 NIL NIL) (CAS "56-86-0"))	
	CPD-694	cob(I)yrinate <i>a,c</i>-diamide	((PUBCHEM "45266689" NIL |kothari| 3641818093 NIL NIL) (CHEBI "28531" NIL |kothari| 3493154606 NIL NIL) (HMDB "HMDB06904" NIL |kothari| 3608602174 NIL NIL) (CHEBI "58575" NIL |kothari| 3608037945 NIL NIL) (LIGAND-CPD "C06505" NIL |kothari| 3493154606 NIL NIL) (PUBCHEM "44229219" NIL |taltman| 3466375284 NIL NIL))	((PUBCHEM "45266689" NIL |kothari| 3641818093 NIL NIL) (HMDB "HMDB06904" NIL |kothari| 3608602174 NIL NIL) (CHEBI "58575" NIL |kothari| 3608037945 NIL NIL) (LIGAND-CPD "C06505" NIL |kothari| 3493154606 NIL NIL))	
	CPD-8609	4,4-dimethyl-5-&alpha;-cholesta-8,14-dien-3-&beta;-ol	((PUBCHEM "25200473" NIL |taltman| 3466375284 NIL NIL) (CHEBI "78904" NIL |kothari| 3686585520 NIL NIL) (PUBCHEM "167817" NIL |kothari| 3686579211 NIL NIL))	((CHEBI "78904" NIL |kothari| 3686585520 NIL NIL) (PUBCHEM "167817" NIL |kothari| 3686579211 NIL NIL))	
